,word,date,journal,reference,source
0,ERYTHEMA,01/01/2019,JOURNAL OF EMERGENCY NURSING,1,pubmed
1,WEAKNESS,01/01/2019,JOURNAL OF EMERGENCY NURSING,1,pubmed
2,FACE,01/01/2019,JOURNAL OF EMERGENCY NURSING,1,pubmed
3,44YEAROLD,01/01/2019,JOURNAL OF EMERGENCY NURSING,1,pubmed
4,PALPITATIONS,01/01/2019,JOURNAL OF EMERGENCY NURSING,1,pubmed
5,NECK,01/01/2019,JOURNAL OF EMERGENCY NURSING,1,pubmed
6,MAN,01/01/2019,JOURNAL OF EMERGENCY NURSING,1,pubmed
7,CHEST,01/01/2019,JOURNAL OF EMERGENCY NURSING,1,pubmed
8,EVALUATION,01/01/2019,JOURNAL OF EMERGENCY NURSING,2,pubmed
9,ANTIHISTAMINIC,01/01/2019,JOURNAL OF EMERGENCY NURSING,2,pubmed
10,ALLERGY,01/01/2019,JOURNAL OF EMERGENCY NURSING,2,pubmed
11,SOCALLED,01/01/2019,JOURNAL OF EMERGENCY NURSING,2,pubmed
12,PYRIBENZAMINE,01/01/2019,JOURNAL OF EMERGENCY NURSING,2,pubmed
13,BENADRYL,01/01/2019,JOURNAL OF EMERGENCY NURSING,2,pubmed
14,DRUGS,01/01/2019,JOURNAL OF EMERGENCY NURSING,2,pubmed
15,FISH,02/01/2019,THE JOURNAL OF PEDIATRICS,3,pubmed
16,HELPS,02/01/2019,THE JOURNAL OF PEDIATRICS,3,pubmed
17,CIGUATERA,02/01/2019,THE JOURNAL OF PEDIATRICS,3,pubmed
18,HYDROCHLORIDE,02/01/2019,THE JOURNAL OF PEDIATRICS,3,pubmed
19,SYMPTOMS,02/01/2019,THE JOURNAL OF PEDIATRICS,3,pubmed
20,POISONING,02/01/2019,THE JOURNAL OF PEDIATRICS,3,pubmed
21,GROUP,01/01/2020,JOURNAL OF FOOD PROTECTION,4,pubmed
22,BUCHNERI,01/01/2020,JOURNAL OF FOOD PROTECTION,4,pubmed
23,RESISTANCE,01/01/2020,JOURNAL OF FOOD PROTECTION,4,pubmed
